88,43546|1,272302
89,73072|1,338246
91,29745|0,9891561
93,55579|1,293535
96,2866|1,124632
98,41258|1,36951
100,7108|1,36951
104,5182|1,36951
105,878|1,36951
110,0919|1,36951
111,7159|1,36951
113,8136|1,640902
115,7795|1,999511
120,2442|0,912434
121,1524|1,375585
122,4685|1,752028
124,5594|1,963599
126,2281|1,577866
127,7656|1,577866
129,0345|1,089877
130,7159|1,334755
133,3476|1,444156
135,1463|1,544016
136,0383|1,999264
142,7791|1,124132
144,5186|1,47252
145,8427|1,906134
148,3403|1,695
150,092|1,999379
154,0911|0,975132
155,0226|1,32352
156,6974|1,757134
158,3622|1,999755
