5.553352|1.272302
6.611191|1.168831
8.053054|1.272302
9.394685|1.975079
10.9615|1.38775
13.23657|1.122866
14.06971|1.336523
15.02809|1.124632
15.99463|1.427245
16.70273|1.999511
21.51927|0.912434
22.49434|1.999264
27.68625|0.3964341
28.4611|0.1978304
30.40233|1.256911
31.2454|1.56129
32.18596|1.959884
34.39425|1.815245
36.93552|1.959884
40.70229|1.605877
43.0272|1.906134
45.14371|1.695
45.90209|1.906134
49.62688|1.815245
50.13523|1.735465
52.1353|1.484736
53.35197|1.906134
55.62677|1.484736
56.527|1.999379
60.81034|0.247434
61.46013|0.04883063
62.55185|1.586465
63.46841|1.999755
